Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"October, 2001",47.1,36.0,58.2,1.96,500,
"September, 2001",57.7,45.9,69.4,3.70,178,8
"August, 2001",67.0,54.4,79.7,1.53,21,138
"July, 2001",64.2,53.3,75.2,3.76,53,66
"June, 2001",63.0,51.8,74.3,3.76,57,51
"May, 2001",54.4,40.4,68.4,2.06,313,
"April, 2001",38.1,27.0,49.1,1.00,736,
"March, 2001",24.2,14.1,34.4,3.71,"1,161",
"February, 2001",16.0,4.8,27.2,2.69,"1,267",
"January, 2001",14.0,3.0,24.9,1.33,"1,475",
"December, 2000",17.5,9.1,26.0,4.40,"1,352",
"November, 2000",35.6,29.7,41.4,2.99,815,
"October, 2000",44.6,34.4,54.8,3.37,562,
"September, 2000",54.5,43.4,65.6,2.27,261,
"August, 2000",63.1,52.7,73.5,2.61,71,60
"July, 2000",63.0,52.3,73.7,4.17,71,48
"June, 2000",59.4,47.9,71.0,2.65,127,12
"May, 2000",49.5,38.5,60.4,4.62,432,
"April, 2000",39.1,30.0,48.1,5.74,709,
"March, 2000",32.6,22.5,42.7,3.60,921,
"February, 2000",18.2,6.8,29.7,3.11,"1,194",
"January, 2000",14.1,4.6,23.7,3.62,"1,451",
"December, 1999",25.2,17.9,32.4,3.00,"1,125",
"November, 1999",37.3,29.2,45.5,3.49,743,
"October, 1999",42.4,32.3,52.5,4.43,625,
"September, 1999",61.7,50.9,72.5,9.04,93,36
"August, 1999",63.9,52.5,75.2,3.07,54,79
"July, 1999",67.8,56.6,79.0,3.17,13,153
"June, 1999",64.8,52.3,77.3,3.37,42,65
"May, 1999",55.4,42.2,68.5,2.85,291,3
"April, 1999",40.4,30.3,50.5,0.87,654,
"March, 1999",31.0,22.7,39.4,5.41,986,
"February, 1999",21.4,10.3,32.4,2.22,"1,108",
"January, 1999",14.3,2.9,25.8,5.43,"1,425",
"December, 1998",26.2,17.1,35.4,1.94,"1,095",
"November, 1998",33.7,27.5,39.9,2.69,850,
"October, 1998",45.2,37.1,53.3,5.04,549,
"September, 1998",56.7,46.3,67.0,2.86,196,6
"August, 1998",64.8,52.6,77.1,2.78,39,98
"July, 1998",66.1,54.9,77.3,3.94,27,104
"June, 1998",59.7,50.4,69.1,6.81,160,5
"May, 1998",56.5,44.1,68.9,3.13,253,5
"April, 1998",41.4,30.5,52.2,3.09,638,
"March, 1998",29.6,19.8,39.4,4.00,"1,000",
"February, 1998",24.2,14.1,34.3,3.57,"1,040",
"January, 1998",17.8,9.7,26.0,5.39,"1,332",
"December, 1997",20.8,11.8,29.9,2.77,"1,247",
